,DLUT,Jiang,Bian,Separated_task,Integrated_task,LR,SVM,RF
RMSE,-0.020000000000000018,-0.014000000000000012,-0.015000000000000013,0,,-0.025000000000000022,-0.02200000000000002,-0.02400000000000002
MAE,-0.052999999999999936,-0.03799999999999992,-0.03799999999999992,0,,-0.03399999999999992,-0.030999999999999917,-0.03299999999999992
R2,-0.072,-0.051,-0.052,0,0.827,-0.089,-0.08099999999999999,-0.086
