,DLUT,Jiang,Bian,Separated_task,Integrated_task,LR,SVM,RF
RMSE,-0.05800000000000005,-0.03700000000000003,-0.03600000000000003,0,,-0.05500000000000005,-0.041000000000000036,-0.05300000000000005
MAE,-0.11099999999999999,-0.07199999999999984,-0.06699999999999995,0,,-0.07799999999999985,-0.05899999999999994,-0.07499999999999996
R2,-0.129,-0.07999999999999999,-0.07899999999999999,0,0.799,-0.123,-0.09,-0.118
