,DLUT,Jiang,Bian,Separated_task,Integrated_task,LR,SVM,RF
RMSE,-0.06699999999999995,-0.039999999999999925,-0.039999999999999925,0,,-0.07799999999999996,-0.050999999999999934,-0.07499999999999996
MAE,-0.125,-0.07299999999999995,-0.06800000000000006,0,,-0.1379999999999999,-0.08200000000000007,-0.1339999999999999
R2,-0.133,-0.076,-0.076,0,0.794,-0.157,-0.09899999999999999,-0.151
