,Test Period,Cumulative Return,Sharpe Ratio,Volatility,MC Mean Return,MC 95% CI Lower,MC 95% CI Upper
0,365D,1.0911946854809957,0.08605204422085291,0.0033333856938692354,,,
1,730D,1.0406153921066152,0.002662680394610417,0.0013805058294217019,,,
2,All Time,1.5435610720538977,0.041870286456106874,0.01223277510106808,,,
3,All TimeD,1.5435610720538977,0.002662680394610417,0.0013805058294217019,1.2809065898107101,0.9931543470611413,1.5117235672825984
