,Test Period,Cumulative Return,Sharpe Ratio,Volatility,MC Mean Return,MC 95% CI Lower,MC 95% CI Upper
0,365D,1.1161013982588164,0.07818030117057902,0.004947561430713496,,,
1,730D,1.1181808344330624,0.035201508976712315,0.004586882311348425,,,
2,All Time,1.7526783265181707,0.04940097303750991,0.013848092883577448,,,
3,All TimeD,1.7526783265181707,0.035201508976712315,0.004586882311348425,1.513483924630067,1.0559657381516547,1.9237039123670614
