epoch,batch,loss,time
1,0,3.686326026916504,6.784498453140259
1,1,3.395005702972412,9.198091983795166
1,2,3.3942856788635254,11.619783163070679
1,3,3.4037275314331055,14.043252229690552
1,4,3.305872678756714,16.470062494277954
1,5,3.318201780319214,18.92737054824829
1,6,3.5185229778289795,21.326711177825928
1,7,3.203369617462158,23.73645281791687
1,8,3.3672361373901367,26.018075942993164
1,9,3.3723373413085938,28.251527070999146
1,10,3.343496799468994,30.677719354629517
1,11,3.4447944164276123,33.10989189147949
1,12,3.2737064361572266,35.44233441352844
