,Cumulative Return,Sharpe Ratio,Volatility
365D,1.138443519334002,0.05654218640501882,0.008750709924620622
730D,1.2674516299564789,0.07266220130265337,0.005871616258467773
All Time,2.3108803272847713,0.06787528625975636,0.015231389454554727
