日期,累计收益,当日投资组合
2021-06-23 00:00:00,0.013021010537172494,"[0.36860464609590515, 0.3615240254323386, 0.2698713284717562]"
2021-06-24 00:00:00,0.012241652955775447,"[0.33454439015843873, 0.378555001262219, 0.28690060857934235]"
2021-06-25 00:00:00,0.02578209998579377,"[0.3385605527838444, 0.3790141495310658, 0.28242529768508984]"
2021-06-28 00:00:00,0.029200278290984576,"[0.34170561397520594, 0.3670622891547112, 0.291232096870083]"
2021-06-29 00:00:00,0.019315084578645426,"[0.34006490211378104, 0.36871716914158054, 0.29121792874463853]"
2021-06-30 00:00:00,0.02897274724423202,"[0.33898087081095324, 0.3708233920352199, 0.2901957371538269]"
2021-07-01 00:00:00,0.022403413279488804,"[0.33560836098339497, 0.3725385650971687, 0.2918530739194364]"
2021-07-02 00:00:00,0.005437933181247492,"[0.3389225858367448, 0.3745003735409611, 0.2865770406222942]"
2021-07-05 00:00:00,0.013011330709290291,"[0.3242335289302699, 0.3928185922974373, 0.28294787877229277]"
2021-07-06 00:00:00,0.016788583427042644,"[0.31544544641987987, 0.3970474159514187, 0.2875071376287015]"
2021-07-07 00:00:00,0.03129326140593895,"[0.31874766034689117, 0.3896491608197471, 0.29160317883336173]"
2021-07-08 00:00:00,0.028308260506575665,"[0.33059585380910445, 0.36950081239175087, 0.29990333379914463]"
2021-07-09 00:00:00,0.03336679822929233,"[0.32903432028104385, 0.37090878548584333, 0.3000568942331129]"
2021-07-12 00:00:00,0.047959745291712874,"[0.3306823940042755, 0.3682841352210621, 0.30103347077466236]"
2021-07-13 00:00:00,0.052224451090854364,"[0.33431119022562183, 0.36916785085712045, 0.2965209589172577]"
2021-07-14 00:00:00,0.03815411203517049,"[0.33277694103659655, 0.3699872159797117, 0.2972358429836918]"
2021-07-15 00:00:00,0.04683746346910042,"[0.33719873474537515, 0.36557750151616103, 0.2972237637384638]"
2021-07-16 00:00:00,0.04208579874821102,"[0.3472994928902241, 0.3479578362538298, 0.3047426708559461]"
2021-07-19 00:00:00,0.041212492941232214,"[0.34367404262776324, 0.3579046958556375, 0.29842126151659926]"
2021-07-20 00:00:00,0.039727166082977584,"[0.346045402665489, 0.35347708620949436, 0.30047751112501664]"
2021-07-21 00:00:00,0.0516447841537512,"[0.34666905682237764, 0.35274254206245004, 0.30058840111517227]"
2021-07-22 00:00:00,0.0583607067624819,"[0.3471094627057769, 0.34891342056886154, 0.30397711672536154]"
2021-07-23 00:00:00,0.050930328985609896,"[0.34732065303495907, 0.34752888095720996, 0.305150466007831]"
2021-07-26 00:00:00,0.023476356558440867,"[0.34056254848637674, 0.3440391710422619, 0.3153982804713615]"
2021-07-27 00:00:00,-0.006023046591220542,"[0.3379754339363953, 0.3345122648728543, 0.3275123011907505]"
2021-07-28 00:00:00,-0.013498605575829048,"[0.33189220873011555, 0.35279716618921075, 0.31531062508067376]"
2021-07-29 00:00:00,0.008815463231470574,"[0.3373173435029545, 0.3416998982692592, 0.3209827582277863]"
2021-07-30 00:00:00,0.011453561669789766,"[0.3383916859685213, 0.33105509721134685, 0.33055321682013183]"
2021-08-02 00:00:00,0.03641829849062497,"[0.3316745938045836, 0.3353470287586139, 0.33297837743680264]"
2021-08-03 00:00:00,0.0370742169500376,"[0.3439958370993118, 0.32555055339115324, 0.330453609509535]"
2021-08-04 00:00:00,0.05544814580287235,"[0.34348067997653625, 0.32591515376158087, 0.330604166261883]"
2021-08-05 00:00:00,0.047931321453179986,"[0.35016648211125034, 0.3216119650212686, 0.32822155286748106]"
2021-08-06 00:00:00,0.04470243444502015,"[0.35221555226226287, 0.3219763713800342, 0.32580807635770304]"
2021-08-09 00:00:00,0.05018170597975985,"[0.34923424457155466, 0.32335309177070853, 0.32741266365773686]"
2021-08-10 00:00:00,0.054805984282213394,"[0.3479570602563031, 0.32395833527623974, 0.3280846044674572]"
2021-08-11 00:00:00,0.05453734378616526,"[0.3488265968081286, 0.323755385860921, 0.3274180173309505]"
2021-08-12 00:00:00,0.05665185141185609,"[0.3491836531719224, 0.32221950442987507, 0.32859684239820247]"
2021-08-13 00:00:00,0.05051905153477599,"[0.3476363486308855, 0.32158304118085335, 0.3307806101882611]"
2021-08-16 00:00:00,0.05042685733152541,"[0.34931423964328107, 0.31585989892414396, 0.3348258614325749]"
2021-08-17 00:00:00,0.030027045453458117,"[0.35620946042216783, 0.31347527838962047, 0.33031526118821164]"
2021-08-18 00:00:00,0.041253914547625045,"[0.34104643033308907, 0.32209334792167427, 0.3368602217452368]"
2021-08-19 00:00:00,0.03822280914033328,"[0.3365955560782216, 0.33206597717065717, 0.3313384667511212]"
2021-08-20 00:00:00,0.022876164598082394,"[0.3380128963118782, 0.33011328946428614, 0.3318738142238356]"
2021-08-23 00:00:00,0.043434975318953725,"[0.33309862050128025, 0.3341256336826122, 0.3327757458161075]"
2021-08-24 00:00:00,0.04827137320081685,"[0.3285192808846822, 0.3264039199382985, 0.3450767991770194]"
2021-08-25 00:00:00,0.05567254167425333,"[0.32947852662724886, 0.32608035708774613, 0.34444111628500507]"
2021-08-26 00:00:00,0.04191888192253744,"[0.3270681791499545, 0.3253014990427321, 0.34763032180731346]"
2021-08-27 00:00:00,0.04906619232287103,"[0.32884293577503837, 0.328400662983248, 0.3427564012417137]"
2021-08-30 00:00:00,0.05271994858802451,"[0.3296495502978266, 0.32722568059814744, 0.343124769104026]"
2021-08-31 00:00:00,0.052097038513112696,"[0.32921908832471425, 0.32775292247660043, 0.34302798919868527]"
