日期,累计收益,当日投资组合
2021-06-23 00:00:00,0.012724530669598636,"[0.3198686500767794, 0.27558593906228596, 0.40454541086093476]"
2021-06-24 00:00:00,0.012596855887107478,"[0.33115449058360796, 0.2827140675492209, 0.38613144186717124]"
2021-06-25 00:00:00,0.02822808670366769,"[0.3269722155761872, 0.2832270552399212, 0.3898007291838916]"
2021-06-28 00:00:00,0.032788240751316526,"[0.3391283008090989, 0.2673520504762364, 0.39351964871466477]"
2021-06-29 00:00:00,0.021297677660674294,"[0.3403367951067285, 0.2649467401131898, 0.39471646478008166]"
2021-06-30 00:00:00,0.02985502876733301,"[0.3463562837587214, 0.26712179968925576, 0.38652191655202284]"
2021-07-01 00:00:00,0.02453635587672502,"[0.3415572335593444, 0.27044744982449176, 0.38799531661616393]"
2021-07-02 00:00:00,0.00586930359400278,"[0.3423274391734633, 0.2736045899573754, 0.3840679708691614]"
2021-07-05 00:00:00,0.017076364630857793,"[0.33774301676576934, 0.28339253520366786, 0.3788644480305627]"
2021-07-06 00:00:00,0.02085164925129658,"[0.3458529027120238, 0.28070609005785596, 0.37344100723012025]"
2021-07-07 00:00:00,0.03189390038201666,"[0.34775852216401654, 0.2761835084958333, 0.37605796934015023]"
2021-07-08 00:00:00,0.029454924379791074,"[0.3476643783641345, 0.27971878209684786, 0.37261683953901764]"
2021-07-09 00:00:00,0.033223044134454996,"[0.34486594140813925, 0.2808547257341577, 0.374279332857703]"
2021-07-12 00:00:00,0.04710274109444201,"[0.34721529129796636, 0.28429912925562406, 0.36848557944640953]"
2021-07-13 00:00:00,0.053579651483278944,"[0.34567393919778056, 0.28710421888236537, 0.3672218419198541]"
2021-07-14 00:00:00,0.03932634145871603,"[0.3472154707711182, 0.28384123830964375, 0.3689432909192381]"
2021-07-15 00:00:00,0.05046427491744952,"[0.3522453089074956, 0.2887812385313419, 0.3589734525611626]"
2021-07-16 00:00:00,0.04658351966715271,"[0.3620622762155084, 0.27753959537953643, 0.3603981284049553]"
2021-07-19 00:00:00,0.045451388541381955,"[0.3611714016583691, 0.2778914144789691, 0.3609371838626619]"
2021-07-20 00:00:00,0.04491841078332182,"[0.34776874622179804, 0.306056401836918, 0.346174851941284]"
2021-07-21 00:00:00,0.05803682999972363,"[0.3471797880903407, 0.3070227612318132, 0.345797450677846]"
2021-07-22 00:00:00,0.06472184145785562,"[0.34895508789667784, 0.3030805328902526, 0.3479643792130696]"
2021-07-23 00:00:00,0.056420072860225934,"[0.3480643871142543, 0.3060947866262385, 0.34584082625950724]"
2021-07-26 00:00:00,0.0268719870672383,"[0.3903627318769929, 0.28822407715554005, 0.3214131909674671]"
2021-07-27 00:00:00,-0.0031857393682290513,"[0.39390038356992446, 0.28473749702986434, 0.32136211940021114]"
2021-07-28 00:00:00,-0.011084843967501614,"[0.3808984671031401, 0.30891537968430605, 0.3101861532125538]"
2021-07-29 00:00:00,0.009728921646443674,"[0.3846222449332146, 0.2935879391716265, 0.32178981589515876]"
2021-07-30 00:00:00,0.01367973877855985,"[0.3920890540881578, 0.2956005964916944, 0.31231034942014774]"
2021-08-02 00:00:00,0.03695922164125135,"[0.3926282979940054, 0.2936029618229601, 0.3137687401830346]"
2021-08-03 00:00:00,0.03811039994093246,"[0.3902591022240431, 0.29637841994910114, 0.3133624778268557]"
2021-08-04 00:00:00,0.055418673676647885,"[0.39025897722477726, 0.2966395238910262, 0.3131014988841966]"
2021-08-05 00:00:00,0.046017360928362186,"[0.39081625285074995, 0.2971824434405208, 0.31200130370872925]"
2021-08-06 00:00:00,0.04409456097531815,"[0.3955690433696233, 0.29294266186164153, 0.31148829476873513]"
2021-08-09 00:00:00,0.05131774913547128,"[0.3903182100000178, 0.30083461705106124, 0.308847172948921]"
2021-08-10 00:00:00,0.056733017641757026,"[0.3914230712884334, 0.3004052337300699, 0.3081716949814967]"
2021-08-11 00:00:00,0.05414789577844302,"[0.3874042977380344, 0.30179291138406616, 0.31080279087789947]"
2021-08-12 00:00:00,0.05570760495714242,"[0.39603893182070254, 0.29665085763039745, 0.3073102105489001]"
2021-08-13 00:00:00,0.06283953795687773,"[0.39469829589930555, 0.29517032218921335, 0.31013138191148115]"
2021-08-16 00:00:00,0.06494762797817975,"[0.4124591523739047, 0.2610759113203011, 0.3264649363057942]"
2021-08-17 00:00:00,0.04259621184118004,"[0.4108345563733988, 0.2612274398148596, 0.32793800381174176]"
2021-08-18 00:00:00,0.05469325884168868,"[0.4076365530253107, 0.2615588346203149, 0.33080461235437436]"
2021-08-19 00:00:00,0.04791581259177036,"[0.40767171053032164, 0.2603563230485613, 0.33197196642111715]"
2021-08-20 00:00:00,0.03172642173286136,"[0.41174472678848906, 0.2538284532789823, 0.33442681993252865]"
2021-08-23 00:00:00,0.05320079556579979,"[0.3992708535124979, 0.2574559992498115, 0.3432731472376907]"
2021-08-24 00:00:00,0.05943914808220999,"[0.3990065266134656, 0.2544452786938112, 0.3465481946927233]"
2021-08-25 00:00:00,0.06799170716152349,"[0.39755363599313304, 0.2552741549708463, 0.34717220903602064]"
2021-08-26 00:00:00,0.05723900100948193,"[0.3914108017699973, 0.2515210010265851, 0.3570681972034177]"
2021-08-27 00:00:00,0.0629591078773831,"[0.38574399908105345, 0.2586735195879431, 0.3555824813310034]"
2021-08-30 00:00:00,0.07079654313753939,"[0.39048167730338906, 0.2594673993685585, 0.3500509233280524]"
2021-08-31 00:00:00,0.06849928612449514,"[0.39277831535690355, 0.25401540882795265, 0.3532062758151438]"
